IFA-100 Fiber Index Profiler Version 8.0 Build 20 Output file
Data acquired on Oct 07, 2015  2:20 PM
IFA-100 Serial Number 02280  Data filename: 6AW0058_10TH OCT.txt
Fiber Rotation Angle = 0deg Frame rate = 18.6 Axial position = 0 microns
Microns per pixel = 0.153 Axial zone height = 80 microns
Frame size = 1384 horizontal pixels
Lambda cal = -0.034214         3.5741        -139.71         2447.8
Center Offset = 0.0 microns and Selected Fiber Diameter = 125 microns
Refractive index units are delta-n
radius (um)	633
33.642	-0.000822523	
33.795	-0.000822026	
33.948	-0.000821789	
34.101	-0.000822048	
34.254	-0.000822404	
34.407	-0.000822792	
34.56	-0.000823519	
34.713	-0.000824375	
34.866	-0.000825249	
35.019	-0.000825601	
35.172	-0.000825774	
35.325	-0.000825559	
35.477	-0.000825439	
35.63	-0.000825055	
35.783	-0.000824767	
35.936	-0.000824489	
36.089	-0.00082462	
36.242	-0.000824777	
36.395	-0.000824851	
36.548	-0.000824975	
36.701	-0.000825494	
36.854	-0.000826271	
37.007	-0.000826647	
37.16	-0.000826626	
37.312	-0.00082643	
37.465	-0.000826501	
37.618	-0.000826459	
37.771	-0.000826212	
37.924	-0.000826046	
38.077	-0.000826596	
38.23	-0.000827693	
38.383	-0.000828297	
38.536	-0.000827876	
38.689	-0.00082707	
38.842	-0.000826987	
38.995	-0.000827829	
39.148	-0.000828841	
39.3	-0.00082941	
39.453	-0.000829484	
39.606	-0.000829654	
39.759	-0.000829886	
39.912	-0.000829974	
40.065	-0.000829572	
40.218	-0.000829165	
40.371	-0.000829012	
40.524	-0.000829323	
40.677	-0.000829802	
40.83	-0.000830421	
40.983	-0.000831062	
41.135	-0.000831575	
41.288	-0.000831633	
41.441	-0.000831092	
41.594	-0.000830644	
41.747	-0.000830769	
41.9	-0.000831403	
42.053	-0.000831571	
42.206	-0.000831235	
42.359	-0.000830812	
42.512	-0.000831083	
42.665	-0.000831959	
42.818	-0.000833063	
42.971	-0.000833547	
43.123	-0.000832953	
43.276	-0.000831622	
43.429	-0.000830657	
43.582	-0.000830748	
43.735	-0.000831749	
43.888	-0.000832899	
44.041	-0.000833504	
44.194	-0.000833265	
44.347	-0.000832641	
44.5	-0.000832469	
44.653	-0.00083303	
44.806	-0.000833645	
44.958	-0.000833722	
45.111	-0.000833447	
45.264	-0.000833377	
45.417	-0.000833612	
45.57	-0.000833789	
45.723	-0.000833678	
45.876	-0.000833421	
46.029	-0.000833476	
46.182	-0.00083413	
46.335	-0.000835087	
46.488	-0.00083568	
46.641	-0.000835422	
46.794	-0.000834488	
46.946	-0.000833356	
47.099	-0.000832636	
47.252	-0.000832736	
47.405	-0.000833718	
47.558	-0.000835165	
47.711	-0.000836379	
47.864	-0.000836608	
48.017	-0.000835709	
48.17	-0.000834133	
48.323	-0.000833192	
48.476	-0.000833382	
48.629	-0.000834631	
48.781	-0.000835568	
48.934	-0.000835703	
49.087	-0.000834817	
49.24	-0.000833813	
49.393	-0.000833049	
49.546	-0.000833149	
49.699	-0.000834034	
49.852	-0.000835412	
50.005	-0.000836402	
50.158	-0.000836523	
50.311	-0.000835661	
50.464	-0.000834344	
50.617	-0.000833252	
50.769	-0.000833194	
50.922	-0.000834166	
51.075	-0.000835704	
51.228	-0.000836958	
51.381	-0.000837531	
51.534	-0.000837266	
51.687	-0.000836621	
51.84	-0.000836119	
51.993	-0.0008362	
52.146	-0.000836715	
52.299	-0.000837365	
52.452	-0.000837759	
52.604	-0.000837723	
52.757	-0.000837342	
52.91	-0.000837056	
53.063	-0.000837166	
53.216	-0.000837416	
53.369	-0.000837312	
53.522	-0.000836893	
53.675	-0.000836725	
53.828	-0.000837019	
53.981	-0.000837481	
54.134	-0.000837834	
54.287	-0.000838345	
54.44	-0.000839072	
54.592	-0.000839617	
54.745	-0.00083952	
54.898	-0.000839177	
55.051	-0.000839262	
55.204	-0.000839999	
55.357	-0.00084087	
55.51	-0.000841454	
55.663	-0.00084174	
55.816	-0.000842066	
55.969	-0.000842649	
56.122	-0.000843675	
56.275	-0.000844772	
56.427	-0.000845556	
56.58	-0.000846178	
56.733	-0.000846685	
56.886	-0.000847226	
57.039	-0.000847887	
